,player,team,age,position,Mins,Passing Accuracy,90s
301,Jordan Ayew,Leicester,33,"AM(CLR),FW",1304,77.9,14.488888888888889
302,Vítezslav Jaros,Liverpool,23,GK,11,66.7,0.12222222222222222
303,Jacob Ramsey,Aston Villa,23,AM(CLR),1258,86.5,13.977777777777778
304,Stefan Ortega,Man City,32,GK,900,81.1,10.0
305,Mathias Jensen,Brentford,29,M(C),737,82.0,8.188888888888888
306,Kyle Walker-Peters,Southampton,27,"D(CLR),M(LR)",2382,91.1,26.466666666666665
307,Christopher Nkunku,Chelsea,27,"M(CLR),FW",863,90.5,9.588888888888889
308,Stephy Mavididi,Leicester,26,"AM(LR),FW",1398,82.9,15.533333333333333
309,Yves Bissouma,Tottenham,28,M(C),1147,89.6,12.744444444444444
310,Abdukodir Khusanov,Man City,21,D(C),504,91.3,5.6
311,Kieran Trippier,Newcastle,34,"D(LR),M(R)",694,86.4,7.711111111111111
312,Ollie Scarles,West Ham,19,Defender,403,80.7,4.477777777777778
313,Axel Disasi,Chelsea,27,D(CR),365,91.7,4.055555555555555
314,José Sá,Wolves,32,GK,1980,58.6,22.0
315,Jhon Durán,Aston Villa,21,FW,627,72.3,6.966666666666667
316,Sergio Reguilón,Tottenham,28,"D(L),M(L)",121,72.8,1.3444444444444446
317,Sam Johnstone,Wolves,31,GK,630,62.7,7.0
318,Trevoh Chalobah,Chelsea,25,"D(CR),DMC",296,91.7,3.2888888888888888
319,Edson Álvarez,West Ham,27,"D(C),DMC",1548,86.5,17.2
320,Manuel Akanji,Man City,29,"D(CLR),DMC",1710,94.5,19.0
321,Joe Aribo,Southampton,28,"M(CLR),FW",1832,89.1,20.355555555555554
322,Roméo Lavia,Chelsea,21,DMC,546,92.1,6.066666666666666
323,Chadi Riad,Crystal Palace,21,D(C),90,85.4,1.0
324,Jota Silva,Nottingham Forest,25,"AM(CLR),FW",713,67.1,7.9222222222222225
325,Leon Bailey,Aston Villa,27,"M(CLR),FW",1143,77.3,12.7
326,John Stones,Man City,30,"D(CR),DMC",547,91.3,6.0777777777777775
327,Matt O'Riley,Brighton,24,M(CR),473,86.4,5.2555555555555555
328,Billy Gilmour,Brighton,23,DMC,98,87.9,1.0888888888888888
329,Mathys Tel,Tottenham,19,"AM(L),FW",307,81.8,3.411111111111111
330,Niclas Füllkrug,West Ham,32,FW,368,68.8,4.088888888888889
331,Malo Gusto,Chelsea,21,"D(R),M(R)",1550,88.9,17.22222222222222
332,Taylor Harwood-Bellis,Southampton,23,D(CR),2122,88.6,23.57777777777778
333,Santiago Bueno,Wolves,26,D(C),1524,88.1,16.933333333333334
334,Luke Woolfenden,Ipswich,26,D(C),1007,88.3,11.188888888888888
335,Philip Billing,Bournemouth,28,"M(C),FW",178,74.4,1.9777777777777779
336,Jack Harrison,Everton,28,"AM(CLR),FW",1509,75.5,16.766666666666666
337,Jarell Quansah,Liverpool,22,D(C),287,92.3,3.188888888888889
338,Luke Thomas,Leicester,23,"D(L),M(L)",363,83.7,4.033333333333333
339,Wout Faes,Leicester,26,D(CL),2093,86.8,23.255555555555556
340,Crysencio Summerville,West Ham,23,AM(LR),784,79.2,8.71111111111111
341,Jannik Vestergaard,Leicester,32,D(C),1396,90.8,15.511111111111111
342,Sam Morsy,Ipswich,33,M(C),1979,88.1,21.988888888888887
343,David Brooks,Bournemouth,27,AM(CR),732,78.9,8.133333333333333
344,Mads Roerslev,Brentford,25,"D(R),M(R)",1097,82.1,12.188888888888888
345,Séamus Coleman,Everton,36,"D(CR),M(R)",197,71.9,2.188888888888889
346,Aaron Cresswell,West Ham,35,"D(CL),M(L)",541,84.1,6.011111111111111
347,Julio Enciso,Brighton,21,AM(CL),288,73.8,3.2
348,Emil Krafth,Newcastle,30,"D(CR),M(R)",242,80.0,2.688888888888889
349,Eddie Nketiah,Crystal Palace,25,"AM(C),FW",704,74.3,7.822222222222222
350,Jens Cajuste,Ipswich,25,DMC,1449,86.8,16.1
351,Carlos Vinícius,Fulham,29,FW,3,-,0.03333333333333333
352,Michail Antonio,West Ham,34,"D(R),M(CLR),FW",845,70.8,9.38888888888889
353,Christian Walton,Ipswich,29,GK,540,62.8,6.0
354,Igor Thiago,Brentford,23,FW,130,73.7,1.4444444444444444
355,Mats Wieffer,Brighton,25,DMC,486,86.9,5.4
356,Josh King,Fulham,18,Midfielder,79,88.9,0.8777777777777778
357,Yehor Yarmoliuk,Brentford,21,M(C),787,87.1,8.744444444444444
358,Morato,Nottingham Forest,23,D(CL),619,73.7,6.877777777777778
359,Tim Iroegbunam,Everton,21,M(C),470,73.1,5.222222222222222
360,Willy-Arnaud Boly,Nottingham Forest,34,D(C),131,78.7,1.4555555555555555
361,Pau Torres,Aston Villa,28,D(C),1550,88.4,17.22222222222222
362,Jack Clarke,Ipswich,24,M(LR),863,79.9,9.588888888888889
363,Ben Johnson,Ipswich,25,"D(CLR),M(LR)",947,78.7,10.522222222222222
